id_stasiun,a_pm10,a_pm25,a_so2,a_co,a_o3,a_no2,a_hc,nama,kota,provinsi,p3e,time_z,index_ISPU,tanggal,Waktu
KABUPATEN_KARAWANG,16.1,17.12,167.17,2195.21,21.0,52.56,62.08,Kabupaten Karawang Wetan,Kabupaten Karawang,Jawa Barat,JAWA,WIB,95.0,2024-02-26,13:00:00
KABUPATEN_CILACAP,11.48,3.84,102.6,542.85,108.46,59.73,87.5,Kabupaten Cilacap Sidakaya,Cilacap,Jawa Tengah,Jawa,WIB,89.0,2024-02-26,13:00:00
DLH_MEDAN_02,44.48,46.44,34.21,1334.69,1.69,4.77,0.0,DLH MEDAN 02,Medan,Sumatera Utara,SUMATERA,WIB,89.0,2024-02-26,13:00:00
PEKANBARU,4.02,17.04,6.81,1653.33,206.04,11.65,1.42,Pekanbaru Tenayan Raya,Pekanbaru,Riau,SUMATERA,WIB,87.0,2024-02-26,13:00:00
PELINDO2_CIREBON,41.4,24.15,72.69,533.69,87.02,163.58,,CIREBON - 02,Cirebon,Jawa Barat,JAWA,WIB,85.0,2024-02-26,13:00:00
KABUPATEN_KENDAL,20.64,8.28,54.74,339.5,176.01,108.12,82.04,Kabupaten Kendal Tunggulrejo,Kendal,Jawa Tengah,Jawa,WIB,84.0,2024-02-26,13:00:00
KABUPATEN_TANGERANGCG,53.41,41.66,28.32,1961.89,13.88,34.14,,Kabupaten Tangerang Curug,Tangerang,Banten,Jawa,WIB,83.0,2024-02-26,13:00:03
KABUPATEN_BOGORLL,51.03,39.88,11.46,1824.07,223.1,1.02,1.24,Kabupaten Bogor Leuwiliang,Bogor,Jawa Barat,Jawa,WIB,81.0,2024-02-26,13:00:02
PELINDO1_CIREBON,11.15,6.81,11.33,433.94,12.85,143.92,,CIREBON - 01,Cirebon,Jawa Barat,JAWA,WIB,77.0,2024-02-26,13:00:00
KABUPATEN_TANGERANG,46.61,36.45,3.76,3087.48,18.17,35.69,0.0,Kabupaten Tangerang,Tangerang,Banten,JAWA,WIB,76.0,2024-02-26,10:00:00
PALANGKARAYA,5.52,4.88,108.08,2774.65,80.06,0.0,,Palangkaraya Jekan Raya,Palangkaraya,Kalimantan Tengah,KALIMANTAN,WIB,72.0,2024-02-26,13:00:00
KABUPATEN_BANDUNGBB,39.93,30.9,7.62,1954.92,10.61,0.49,78.94,Kabupaten Bandung Barat Saguling,Bandung Barat,Jawa Barat,Jawa,WIB,69.0,2024-02-26,13:00:02
SOLO,16.48,15.69,97.0,730.0,,,0.0,Solo Manahan,Solo,Jawa Tengah,JAWA,WIB,68.0,2024-02-26,13:00:00
KABUPATEN_ROKANHILIR,14.94,13.58,57.58,707.65,52.65,36.23,63.79,Kabupaten Rokan Hilir Bangko,Rokan Hilir,Riau,SUMATERA,WIB,67.0,2024-02-26,13:00:00
DLH_MEDAN_01,24.04,28.32,21.77,1098.55,43.36,59.66,20.64,DLH MEDAN 01,Medan,Sumatera Utara,SUMATERA,WIB,66.0,2024-02-26,13:00:00
KOTA_CILEGON,36.37,27.79,36.57,1714.48,32.01,61.74,40.59,Kota Cilegon Pulomerak,Cilegon,Banten,Jawa,WIB,65.0,2024-02-26,13:00:02
KABUPATEN_SEMARANG,26.47,10.84,88.39,427.72,58.33,15.99,41.51,Kabupaten Semarang Candirejo,Semarang,Jawa Tengah,Jawa,WIB,64.0,2024-02-26,13:00:00
KABUPATEN_SERANG,34.33,27.05,24.19,539.24,0.31,32.52,66.12,Kabupaten Serang Lamaran,Serang,Banten,Jawa,WIB,64.0,2024-02-26,13:00:02
KABUPATEN_BOGOR,53.81,26.02,0.06,1341.25,9.6,2.73,43.75,Kabupaten Bogor Tegar Beriman,Kabupaten Bogor,Jawa Barat,JAWA,WIB,63.0,2024-02-26,13:00:00
LAMPUNG,14.05,7.95,85.38,722.84,,,0.51,Bandar Lampung Talang,Bandar Lampung,Lampung,SUMATERA,WIB,63.0,2024-02-26,13:00:00
KABUPATEN_KOTAWARINGINTIMUR,5.42,4.6,83.65,737.88,55.77,41.0,54.4,Kabupaten Kotawaringin Timur,Kabupaten Kotawaringin Timur,Kalimantan Tengah,KALIMANTAN,WIB,62.0,2024-02-26,13:00:00
TANGERANG_SELATAN,25.12,23.35,67.0,85.12,17.42,46.85,47.15,Tangerang Selatan Serpong,Tangerang Selatan,Banten,JAWA,WIB,60.0,2024-02-26,13:00:00
